online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,169925,1024000,934
True,inf,9,True,0.006,170235,1024000,936
True,inf,9,True,0.006,170511,1024000,938
True,inf,9,True,0.006,170876,1024000,940
True,inf,9,True,0.006,171144,1024000,942
True,inf,9,True,0.006,171545,1024000,944
True,inf,9,True,0.006,171861,1024000,946
True,inf,9,True,0.006,172145,1024000,948
True,inf,9,True,0.006,172482,1024000,950
True,inf,9,True,0.006,172739,1024000,952
True,inf,9,True,0.006,173004,1024000,954
True,inf,9,True,0.006,173311,1024000,956
True,inf,9,True,0.006,173653,1024000,958
True,inf,9,True,0.006,173968,1024000,960
True,inf,9,True,0.006,174292,1024000,962
True,inf,9,True,0.006,174646,1024000,964
True,inf,9,True,0.006,174994,1024000,966
True,inf,9,True,0.006,175282,1024000,968
True,inf,9,True,0.006,175590,1024000,970
True,inf,9,True,0.006,175913,1024000,972
True,inf,9,True,0.006,176246,1024000,974
True,inf,9,True,0.006,176614,1024000,976
True,inf,9,True,0.006,176905,1024000,978
True,inf,9,True,0.006,177231,1024000,980
True,inf,9,True,0.006,177523,1024000,982
True,inf,9,True,0.006,177858,1024000,984
True,inf,9,True,0.006,178124,1024000,986
True,inf,9,True,0.006,178457,1024000,988
True,inf,9,True,0.006,178807,1024000,990
True,inf,9,True,0.006,179135,1024000,992
True,inf,9,True,0.006,179493,1024000,994
True,inf,9,True,0.006,179812,1024000,996
True,inf,9,True,0.006,180109,1024000,998
True,inf,15,True,0.006,0,1024000,0
True,inf,15,True,0.006,2,1024000,2
True,inf,15,True,0.006,5,1024000,4
True,inf,15,True,0.006,16,1024000,6
True,inf,15,True,0.006,34,1024000,8
True,inf,15,True,0.006,62,1024000,10
True,inf,15,True,0.006,108,1024000,12
True,inf,15,True,0.006,174,1024000,14
True,inf,15,True,0.006,253,1024000,16
True,inf,15,True,0.006,345,1024000,18
True,inf,15,True,0.006,439,1024000,20
True,inf,15,True,0.006,566,1024000,22
True,inf,15,True,0.006,687,1024000,24
True,inf,15,True,0.006,822,1024000,26
True,inf,15,True,0.006,982,1024000,28
True,inf,15,True,0.006,1097,1024000,30
True,inf,15,True,0.006,1270,1024000,32
True,inf,15,True,0.006,1438,1024000,34
True,inf,15,True,0.006,1568,1024000,36
